59
перчатка: [{'латексный': 22134}, {'смотровой': 21413}, {'хирургический': 20182}, {'нестерильный': 15347}, {'неопудрить': 15047}, {'стерильный': 14411}, {'размер м': 10503}, {'нитриловый': 8992}, {'размер s': 7211}, {'размер l': 6916}, {'опудрить': 6416}, {'медицинский': 4791}, {'текстурированный': 4167}, {'диагностический': 3685}, {'pf': 3186}, {'размер 7': 3117}, {'повышенный': 2831}, {'размер 8': 2694}, {'резиновый': 2677}, {'хлопчатобумажный': 2569}, {'7': 2492}, {'пара': 2419}, {'стереть': 2351}, {'8': 2327}, {'хозяйственный': 2008}, {'анатомический': 1925}, {'малайзия': 1844}, {'прочность': 1786}, {'покрытие': 1784}, {'пвх': 1507}, {'одноразовый': 1472}, {'gammex': 1460}, {'manual': 1410}, {'размер 7,5': 1406}, {'россия': 1273}, {'форма': 1242}, {'dermagrip': 1234}, {'6': 1126}, {'виниловый': 1114}, {'синтетический': 1070}, {'7,5': 952}, {'неопреновый': 940}, {'50': 925}, {'р м': 908}, {'epic': 848}, {'австрия': 842}, {'размер 6': 778}, {'grip': 765}, {'размер 6,5': 741}, {'sfm': 736}, {'9': 727}, {'eco': 709}, {'внутренний': 708}, {'германия': 707}, {'medi': 700}, {'удлинённый': 685}, {'натуральный': 668}, {'1': 645}]
опудрить: [{'перчатка': 6440}, {'латексный': 4290}, {'смотровой': 2388}, {'хирургический': 2747}, {'нестерильный': 2145}, {'неопудрить': 20}, {'стерильный': 2365}, {'размер м': 1162}, {'нитриловый': 246}, {'размер s': 779}, {'размер l': 793}, {'медицинский': 355}, {'текстурированный': 354}, {'диагностический': 352}, {'pf': 42}, {'размер 7': 433}, {'повышенный': 79}, {'размер 8': 364}, {'резиновый': 270}, {'хлопчатобумажный': 609}, {'7': 316}, {'пара': 263}, {'стереть': 315}, {'8': 277}, {'хозяйственный': 245}, {'анатомический': 468}, {'малайзия': 126}, {'прочность': 47}, {'покрытие': 9}, {'пвх': 119}, {'одноразовый': 118}, {'gammex': 25}, {'manual': 7}, {'размер 7,5': 159}, {'россия': 135}, {'форма': 380}, {'dermagrip': 11}, {'6': 149}, {'виниловый': 23}, {'синтетический': 82}, {'7,5': 91}, {'неопреновый': 34}, {'50': 107}, {'р м': 89}, {'epic': 167}, {'австрия': 84}, {'размер 6': 144}, {'grip': 130}, {'размер 6,5': 97}, {'sfm': 144}, {'9': 73}, {'eco': 152}, {'внутренний': 50}, {'германия': 112}, {'medi': 127}, {'удлинённый': 32}, {'натуральный': 160}, {'1': 62}]
медицинский: [{'перчатка': 4778}, {'латексный': 1537}, {'смотровой': 1766}, {'хирургический': 1034}, {'нестерильный': 1371}, {'неопудрить': 890}, {'стерильный': 1101}, {'размер м': 848}, {'нитриловый': 599}, {'размер s': 631}, {'размер l': 533}, {'опудрить': 355}, {'текстурированный': 207}, {'диагностический': 613}, {'pf': 181}, {'размер 7': 214}, {'повышенный': 98}, {'размер 8': 183}, {'резиновый': 52}, {'хлопчатобумажный': 2}, {'7': 148}, {'пара': 102}, {'стереть': 69}, {'8': 143}, {'хозяйственный': 0}, {'анатомический': 74}, {'малайзия': 170}, {'прочность': 75}, {'покрытие': 26}, {'пвх': 8}, {'одноразовый': 374}, {'gammex': 95}, {'manual': 63}, {'размер 7,5': 94}, {'россия': 78}, {'форма': 49}, {'dermagrip': 51}, {'6': 69}, {'виниловый': 46}, {'синтетический': 85}, {'7,5': 39}, {'неопреновый': 53}, {'50': 45}, {'р м': 50}, {'epic': 30}, {'австрия': 69}, {'размер 6': 70}, {'grip': 42}, {'размер 6,5': 56}, {'sfm': 204}, {'9': 49}, {'eco': 34}, {'внутренний': 13}, {'германия': 163}, {'medi': 38}, {'удлинённый': 19}, {'натуральный': 50}, {'1': 60}]
текстурированный: [{'перчатка': 4176}, {'латексный': 2152}, {'смотровой': 1729}, {'хирургический': 901}, {'нестерильный': 1865}, {'неопудрить': 2748}, {'стерильный': 780}, {'размер м': 936}, {'нитриловый': 984}, {'размер s': 860}, {'размер l': 641}, {'опудрить': 353}, {'медицинский': 207}, {'диагностический': 271}, {'pf': 146}, {'размер 7': 128}, {'повышенный': 87}, {'размер 8': 106}, {'резиновый': 7}, {'хлопчатобумажный': 6}, {'7': 174}, {'пара': 364}, {'стереть': 218}, {'8': 172}, {'хозяйственный': 2}, {'анатомический': 258}, {'малайзия': 104}, {'прочность': 79}, {'покрытие': 17}, {'пвх': 6}, {'одноразовый': 90}, {'gammex': 11}, {'manual': 43}, {'размер 7,5': 44}, {'россия': 19}, {'форма': 107}, {'dermagrip': 69}, {'6': 88}, {'виниловый': 4}, {'синтетический': 42}, {'7,5': 31}, {'неопреновый': 50}, {'50': 221}, {'р м': 103}, {'epic': 26}, {'австрия': 33}, {'размер 6': 41}, {'grip': 45}, {'размер 6,5': 35}, {'sfm': 142}, {'9': 67}, {'eco': 37}, {'внутренний': 2}, {'германия': 68}, {'medi': 19}, {'удлинённый': 39}, {'натуральный': 40}, {'1': 77}]
диагностический: [{'перчатка': 3697}, {'латексный': 1185}, {'смотровой': 1212}, {'хирургический': 16}, {'нестерильный': 1674}, {'неопудрить': 865}, {'стерильный': 296}, {'размер м': 966}, {'нитриловый': 1094}, {'размер s': 754}, {'размер l': 645}, {'опудрить': 352}, {'медицинский': 622}, {'текстурированный': 271}, {'pf': 85}, {'размер 7': 38}, {'повышенный': 123}, {'размер 8': 24}, {'резиновый': 5}, {'хлопчатобумажный': 1}, {'7': 102}, {'пара': 75}, {'стереть': 21}, {'8': 107}, {'хозяйственный': 0}, {'анатомический': 7}, {'малайзия': 182}, {'прочность': 92}, {'покрытие': 38}, {'пвх': 14}, {'одноразовый': 187}, {'gammex': 0}, {'manual': 61}, {'размер 7,5': 0}, {'россия': 33}, {'форма': 7}, {'dermagrip': 34}, {'6': 65}, {'виниловый': 69}, {'синтетический': 95}, {'7,5': 8}, {'неопреновый': 32}, {'50': 50}, {'р м': 64}, {'epic': 14}, {'австрия': 21}, {'размер 6': 12}, {'grip': 0}, {'размер 6,5': 6}, {'sfm': 73}, {'9': 41}, {'eco': 42}, {'внутренний': 44}, {'германия': 79}, {'medi': 0}, {'удлинённый': 48}, {'натуральный': 177}, {'1': 34}]
pf: [{'перчатка': 3203}, {'латексный': 960}, {'смотровой': 725}, {'хирургический': 2198}, {'нестерильный': 219}, {'неопудрить': 1085}, {'стерильный': 1078}, {'размер м': 238}, {'нитриловый': 251}, {'размер s': 172}, {'размер l': 160}, {'опудрить': 42}, {'медицинский': 184}, {'текстурированный': 146}, {'диагностический': 85}, {'размер 7': 266}, {'повышенный': 49}, {'размер 8': 261}, {'резиновый': 3}, {'хлопчатобумажный': 0}, {'7': 125}, {'пара': 224}, {'стереть': 477}, {'8': 115}, {'хозяйственный': 0}, {'анатомический': 87}, {'малайзия': 266}, {'прочность': 32}, {'покрытие': 110}, {'пвх': 9}, {'одноразовый': 5}, {'gammex': 1237}, {'manual': 17}, {'размер 7,5': 190}, {'россия': 0}, {'форма': 55}, {'dermagrip': 202}, {'6': 35}, {'виниловый': 5}, {'синтетический': 24}, {'7,5': 105}, {'неопреновый': 104}, {'50': 35}, {'р м': 21}, {'epic': 378}, {'австрия': 90}, {'размер 6': 57}, {'grip': 299}, {'размер 6,5': 78}, {'sfm': 2}, {'9': 16}, {'eco': 100}, {'внутренний': 61}, {'германия': 24}, {'medi': 278}, {'удлинённый': 11}, {'натуральный': 12}, {'1': 9}]
размер 7: [{'перчатка': 3129}, {'латексный': 1350}, {'смотровой': 264}, {'хирургический': 2506}, {'нестерильный': 474}, {'неопудрить': 801}, {'стерильный': 1630}, {'размер м': 167}, {'нитриловый': 95}, {'размер s': 17}, {'размер l': 5}, {'опудрить': 433}, {'медицинский': 215}, {'текстурированный': 128}, {'диагностический': 38}, {'pf': 266}, {'повышенный': 98}, {'размер 8': 0}, {'резиновый': 31}, {'хлопчатобумажный': 5}, {'7': 1}, {'пара': 80}, {'стереть': 79}, {'8': 163}, {'хозяйственный': 6}, {'анатомический': 198}, {'малайзия': 109}, {'прочность': 40}, {'покрытие': 87}, {'пвх': 1}, {'одноразовый': 41}, {'gammex': 169}, {'manual': 6}, {'размер 7,5': 0}, {'россия': 68}, {'форма': 143}, {'dermagrip': 4}, {'6': 3}, {'виниловый': 11}, {'синтетический': 47}, {'7,5': 33}, {'неопреновый': 89}, {'50': 25}, {'р м': 0}, {'epic': 93}, {'австрия': 50}, {'размер 6': 0}, {'grip': 89}, {'размер 6,5': 0}, {'sfm': 30}, {'9': 1}, {'eco': 30}, {'внутренний': 71}, {'германия': 32}, {'medi': 90}, {'удлинённый': 33}, {'натуральный': 33}, {'1': 19}]
повышенный: [{'перчатка': 2845}, {'латексный': 1329}, {'смотровой': 1430}, {'хирургический': 638}, {'нестерильный': 486}, {'неопудрить': 657}, {'стерильный': 315}, {'размер м': 642}, {'нитриловый': 655}, {'размер s': 311}, {'размер l': 499}, {'опудрить': 79}, {'медицинский': 98}, {'текстурированный': 87}, {'диагностический': 123}, {'pf': 49}, {'размер 7': 98}, {'размер 8': 111}, {'резиновый': 50}, {'хлопчатобумажный': 45}, {'7': 51}, {'пара': 26}, {'стереть': 13}, {'8': 53}, {'хозяйственный': 28}, {'анатомический': 35}, {'малайзия': 97}, {'прочность': 1659}, {'покрытие': 12}, {'пвх': 15}, {'одноразовый': 12}, {'gammex': 27}, {'manual': 89}, {'размер 7,5': 50}, {'россия': 14}, {'форма': 18}, {'dermagrip': 86}, {'6': 18}, {'виниловый': 6}, {'синтетический': 19}, {'7,5': 30}, {'неопреновый': 32}, {'50': 11}, {'р м': 47}, {'epic': 0}, {'австрия': 23}, {'размер 6': 16}, {'grip': 0}, {'размер 6,5': 20}, {'sfm': 25}, {'9': 16}, {'eco': 13}, {'внутренний': 1}, {'германия': 26}, {'medi': 0}, {'удлинённый': 156}, {'натуральный': 20}, {'1': 4}]
размер 8: [{'перчатка': 2700}, {'латексный': 1173}, {'смотровой': 181}, {'хирургический': 2160}, {'нестерильный': 348}, {'неопудрить': 693}, {'стерильный': 1401}, {'размер м': 36}, {'нитриловый': 64}, {'размер s': 4}, {'размер l': 105}, {'опудрить': 364}, {'медицинский': 184}, {'текстурированный': 106}, {'диагностический': 24}, {'pf': 261}, {'размер 7': 0}, {'повышенный': 111}, {'резиновый': 36}, {'хлопчатобумажный': 8}, {'7': 1}, {'пара': 50}, {'стереть': 62}, {'8': 0}, {'хозяйственный': 8}, {'анатомический': 165}, {'малайзия': 96}, {'прочность': 57}, {'покрытие': 77}, {'пвх': 5}, {'одноразовый': 29}, {'gammex': 170}, {'manual': 2}, {'размер 7,5': 0}, {'россия': 65}, {'форма': 114}, {'dermagrip': 4}, {'6': 2}, {'виниловый': 4}, {'синтетический': 37}, {'7,5': 0}, {'неопреновый': 73}, {'50': 12}, {'р м': 0}, {'epic': 90}, {'австрия': 41}, {'размер 6': 0}, {'grip': 77}, {'размер 6,5': 0}, {'sfm': 23}, {'9': 76}, {'eco': 26}, {'внутренний': 60}, {'германия': 33}, {'medi': 79}, {'удлинённый': 32}, {'натуральный': 38}, {'1': 26}]
резиновый: [{'перчатка': 2702}, {'латексный': 399}, {'смотровой': 29}, {'хирургический': 218}, {'нестерильный': 105}, {'неопудрить': 7}, {'стерильный': 37}, {'размер м': 469}, {'нитриловый': 9}, {'размер s': 145}, {'размер l': 489}, {'опудрить': 270}, {'медицинский': 52}, {'текстурированный': 7}, {'диагностический': 5}, {'pf': 3}, {'размер 7': 31}, {'повышенный': 50}, {'размер 8': 36}, {'хлопчатобумажный': 290}, {'7': 26}, {'пара': 92}, {'стереть': 13}, {'8': 39}, {'хозяйственный': 801}, {'анатомический': 24}, {'малайзия': 30}, {'прочность': 49}, {'покрытие': 20}, {'пвх': 7}, {'одноразовый': 9}, {'gammex': 2}, {'manual': 1}, {'размер 7,5': 3}, {'россия': 80}, {'форма': 11}, {'dermagrip': 14}, {'6': 10}, {'виниловый': 4}, {'синтетический': 0}, {'7,5': 3}, {'неопреновый': 1}, {'50': 4}, {'р м': 25}, {'epic': 0}, {'австрия': 2}, {'размер 6': 7}, {'grip': 0}, {'размер 6,5': 1}, {'sfm': 0}, {'9': 23}, {'eco': 3}, {'внутренний': 23}, {'германия': 3}, {'medi': 0}, {'удлинённый': 11}, {'натуральный': 24}, {'1': 26}]
хлопчатобумажный: [{'перчатка': 2583}, {'латексный': 401}, {'смотровой': 4}, {'хирургический': 1}, {'нестерильный': 0}, {'неопудрить': 0}, {'стерильный': 0}, {'размер м': 158}, {'нитриловый': 53}, {'размер s': 42}, {'размер l': 173}, {'опудрить': 606}, {'медицинский': 2}, {'текстурированный': 6}, {'диагностический': 1}, {'pf': 0}, {'размер 7': 5}, {'повышенный': 45}, {'размер 8': 8}, {'резиновый': 290}, {'7': 24}, {'пара': 127}, {'стереть': 0}, {'8': 11}, {'хозяйственный': 503}, {'анатомический': 0}, {'малайзия': 0}, {'прочность': 13}, {'покрытие': 403}, {'пвх': 999}, {'одноразовый': 1}, {'gammex': 0}, {'manual': 0}, {'размер 7,5': 5}, {'россия': 168}, {'форма': 0}, {'dermagrip': 0}, {'6': 30}, {'виниловый': 0}, {'синтетический': 0}, {'7,5': 24}, {'неопреновый': 1}, {'50': 6}, {'р м': 11}, {'epic': 0}, {'австрия': 0}, {'размер 6': 0}, {'grip': 0}, {'размер 6,5': 1}, {'sfm': 0}, {'9': 10}, {'eco': 0}, {'внутренний': 48}, {'германия': 2}, {'medi': 0}, {'удлинённый': 0}, {'натуральный': 5}, {'1': 10}]
